x y likelihood c d sigma miu kappa
0 6 -4611.59581628 16.5098682491 0.0822154844052 1.39051087509 248.053327845 -23.4068453053
0 7 -6218.8140065 16.8855135045 0.12554216222 3.34960014481 247.377573248 -61.3328229573
0 8 -15094.9614249 24.5178447583 0.13320439504 2.55428174407 248.221644442 -69.3425364536
0 9 -17881.7583782 23.4414346006 0.147315647134 1.907485591 249.371661537 12.0652424061
0 10 -17711.2792021 11.8216962417 0.166704940371 2.43637106481 248.779825769 48.7197292536
0 21 -4947.78077627 10.9908755864 0.0043404580134 -2.61336385385 247.8066954 -49.1890879094
0 22 -3119.10883854 8.13997879431 0.00228240815682 0.160859386463 250.140632243 4.47575566936
0 23 -1551.84603165 6.52344758248 -0.00153085022992 0.835674824275 249.816884335 -5.29095458479
0 54 -172.366303001 1.36897871195 0.00126095228838 -0.283338439319 249.75922256 0.640908941344
0 72 -490.862926065 11.928097571 -0.0187377102459 0.373849364975 249.331820016 -3.64918253017
0 74 -1528.74535642 16.6509003875 -0.0167638159443 0.268203259492 250.081947324 2.47159402362
0 75 -1480.04685924 23.6019687002 -0.0327071904113 0.543540538171 249.806005766 2.30085254543
0 76 -2747.58006167 25.8418052804 -0.0409047676896 1.29092703041 248.91998844 -14.3434223403
0 77 -2618.38301858 19.0051743513 -0.0278220303041 -2.50020759475 249.98858285 27.5490642419
0 82 -3782.49190134 33.5195769817 -0.0880427234631 0.361277086647 250.159254521 -4.89288029913
0 83 -2507.06128774 41.6826940657 -0.106873346483 1.83131566196 249.883923202 -10.7421374393
0 94 -7424.60948675 10.6610736607 0.0847087229304 -0.248939675024 250.612810108 -0.663718244605
1 8 -24166.5145309 36.6816776613 0.152891239578 2.59444048763 250.822357028 -50.6532375947
1 9 -25618.6375871 33.8282156622 0.152610644105 -1.48726239035 248.629349435 -23.0676995564
1 10 -20697.4249221 24.7987566491 0.143583467631 0.113964818284 249.709791468 6.40957315087
1 14 -4667.77963583 9.42014755115 0.147480515484 2.00531566538 249.389832183 30.0982090396
1 15 -4335.38135241 7.17817329238 0.142561444753 -1.12677460589 249.489600527 -12.0052750753
1 16 -4232.67534957 5.08321949461 0.126641989543 1.41388462863 249.570401664 20.3059262564
1 21 -7678.30428256 12.3247196807 0.00374906524644 2.91795423045 247.753370296 57.8820271326
1 22 -4853.05497765 8.47651452181 0.00420897035669 -0.0218772483294 250.966335828 0.599491017117
1 23 -2133.42480261 7.88420333616 -0.00276314641493 0.661823239653 249.927066719 -4.27125074187
1 28 -185.057301305 1.71909177253 0.00101786903511 0.796430699659 250.522892407 1.50385633936
1 55 -92.5564459408 1.88031162468 -0.00111704032275 0.435199833022 250.073329616 1.22053587793
1 62 -144.471111149 2.75937782076 -0.00512757293376 -0.0325884683809 250.136017022 -7.62544361564
1 82 -5362.98662872 46.7178298667 -0.119371552365 0.510447687248 250.258532986 -2.92479725493
1 83 -2434.64920084 57.1864618071 -0.132497802173 0.426591008601 248.874635339 6.20216924216
1 94 -2725.12268285 26.2827464852 0.0286828097614 1.86537442287 250.714891889 28.3216118176
1 98 -6364.81691346 41.3284069732 0.00697071358331 -0.650162062027 250.012114257 -2.20555323972
2 7 -13277.3767274 32.9152421814 0.167897144889 3.41701254812 251.113010252 54.2029113314
2 8 -22172.0150138 38.32356625 0.16350521666 0.68363232648 248.809293846 9.74871442005
2 9 -26188.6765611 39.3115322302 0.135319142112 1.24656564959 248.338821049 11.8890670857
2 14 -8204.73755838 -1.71209102104 0.171933490893 0.0773638090056 249.786087301 1.69713444955
2 20 -8898.28073677 14.7495716253 0.0213299823819 -0.0308903041622 249.717933939 -2.55233445917
2 28 -182.145265855 1.62091868747 0.00228080082375 0.764552847628 250.185575648 7.08391422312
2 82 -3870.01579929 57.8807946732 -0.138733788256 1.35215831776 250.777117436 -6.44452478979
2 83 -3533.22521468 69.3742928313 -0.136519706922 1.61174609927 249.969274039 15.6506925871
3 8 -12337.822286 37.7247734375 0.12878199285 2.14217638424 250.646443468 22.753389172
3 9 -14100.3641074 38.8836299829 0.101834443987 2.40885225131 248.323759526 -24.8675831747
3 15 -16780.5159787 -6.10118964871 0.195418460662 1.15197322079 250.827568756 5.94261581778
3 16 -10676.8002825 -3.5236333077 0.16926977593 0.781420792631 249.598103684 -6.16752899034
3 26 -259.172823711 1.51194337808 0.00724551964352 0.341709154553 249.848796951 2.16266050265
3 28 -146.21306604 1.00728816532 0.00478351143821 1.25048726769 250.077953434 10.5557257186
3 63 -222.239090963 1.54455771932 0.0015680338916 0.56594359839 249.66371597 0.25383990272
3 82 -4578.5156429 58.8791221779 -0.132622719954 -1.00949390116 249.498168857 9.94670553463
3 91 -3701.74093293 -0.38370262181 0.061581685884 0.819302156166 250.492816128 -7.17581472301
83 33 -7787.99725668 71.3194239514 -0.0732754632464 -1.92834710749 251.133438125 -4.92438975674
83 34 -14541.7185437 70.0736043979 -0.0389943401124 1.33445511526 251.607085553 8.15802003778
83 35 -18054.1595258 73.8507956983 -0.0276259952525 1.47618312937 251.973818193 24.6836531355
83 36 -13982.8605192 79.2573415506 -0.0369558697828 4.08492236535 249.665357821 60.8246535831
83 37 -10476.3102231 78.9582583291 -0.0510919237028 2.88484727735 250.558154748 19.7623200474
83 38 -8211.38395932 69.4551538689 -0.0720067569038 -1.92226212481 248.999670109 19.9660301274
83 39 -5312.57198065 52.7959475161 -0.0762117952287 2.59012496412 249.470460425 -35.0103173477
83 40 -6255.45670765 40.3068410076 -0.0657361114364 1.96862183766 249.145731139 -32.2402295852
83 41 -4921.88475797 35.5263085465 -0.0532603389102 1.34714178135 248.899251004 -24.2420634121
83 42 -3606.90046798 33.0365032485 -0.0421624904004 -1.94239864011 249.104583125 20.3259329952
83 43 -3839.8262487 27.710077375 -0.0261546071256 -1.81473702118 248.623201529 25.1480426663
83 44 -4274.46006043 19.4732128051 -0.00572895893575 2.48685224467 249.122950134 -30.6482500788
83 45 -4492.23311913 15.0921150483 0.000434536759878 -0.793967838978 250.907982235 6.83762757004
83 46 -3695.31844816 11.9684609869 0.00743713674661 1.94297332088 249.737865055 -28.9310362288
83 47 -2719.77809641 10.3342363735 0.0110148347294 1.81360017071 251.018502271 -20.3250859233
83 48 -2621.1549169 8.98935040245 0.0153429329915 1.02269188315 250.139546681 -7.48032878251
83 49 -2661.97665795 8.50040630487 0.0183134263017 1.65997240597 249.693654587 -11.9786287045
83 50 -2479.77369793 8.59757717976 0.0197503947033 2.51888172117 250.084281849 -23.0179443797
83 51 -1775.14823629 9.87779445895 0.0180434558714 1.45211641123 249.801413825 -13.5094069238
83 52 -993.961750553 11.8360840584 0.0163385894965 1.70741307805 249.390007075 -7.85595085806
83 53 -1172.30384375 13.4513853046 0.0210614069059 -0.0039965465061 249.251224703 2.47537751685
83 54 -2899.16601433 15.0845145996 0.0308720095351 1.72754363594 250.30414506 9.70061201974
83 55 -4845.16480291 15.2627655251 0.0443254806327 2.16912856546 249.926292265 32.7169446833
83 56 -3831.65369036 16.9282253115 0.0440436726747 2.83661052805 248.753404461 38.7906756799
83 57 -2108.99804361 20.810764973 0.0311795459484 0.912698587644 250.936272018 7.9211328825
83 58 -1807.52947809 22.6065141341 0.0287510387888 0.893872991743 249.82086445 8.96722197377
83 59 -2309.80724003 22.2083325204 0.0335525820349 0.716387804371 250.045358373 4.75290952954
83 60 -2942.10867624 21.9849635053 0.0372140065056 1.36914022395 249.51946163 -3.80228543601
83 61 -2216.26150118 25.5655991666 0.0310529518229 2.01494043147 249.386551696 -5.70072077864
83 62 -1417.67925552 30.4909486593 0.0300437998694 0.231467090415 248.010036235 0.963621391947
83 63 -1851.09293406 35.6491834148 0.0348353523227 1.67822468291 249.996159405 9.30362888526
83 64 -2662.95799864 40.9491312396 0.0400043249666 1.27168443751 250.84747658 14.9838054555
83 65 -2396.90706205 43.6173754355 0.0490926257035 2.06666624713 249.249104643 12.8606070527
83 66 -1280.03927743 42.5051743828 0.0560097142368 -0.112884028471 251.006370394 -1.92976081065
83 67 -2578.97192013 42.4935209285 0.0398933691273 2.37938403628 250.179564947 -2.31960835329
