x y likelihood f g h n t0
1 14 -3778.98069107 28.0427398334 0.104402150521 -28.8819540771 -0.0101028041666 9.44307276144
1 15 -1769.78953304 6.90152259126 0.032015426346 19.2474820843 0.0392174690006 196.885428387
1 16 -2415.6884408 11.8551089769 0.0449012444286 11.657221699 0.0471355858938 225.994357442
1 21 -6333.66145985 30.9948390909 -0.0508783420825 -8.11337065155 -0.678543653066 212.865284389
1 22 -4570.07293842 3.29338946144 -0.011194971558 4.70346268176 0.757486003933 80.2194147894
1 23 -1844.45970786 3.60460285884 -0.024452209255 5.27648345628 0.0782216222996 112.848706601
1 28 -189.146108302 -3.10117970919 -0.00438543902964 5.48792756746 0.00107150161854 97.3215225743
1 55 -68.5611561272 1.3570615603 -0.00660676881667 1.07424271104 0.195113114861 185.90163278
1 62 -33.7351614562 0.340577437415 0.00288068105386 6.28026864308 -0.0726789125328 26.0590620899
1 82 -2462.24690676 8.1821185128 -0.0140956717715 33.9352178405 -0.0154704433865 102.806877074
1 83 -2226.87094953 2.99954528303 -0.0213201918864 32.691229341 -0.00713391372909 202.282207753
1 94 -1047.83294795 16.8579565353 -0.0378669186666 15.6191974597 0.0309602082099 141.904991311
1 98 -1871.92302202 8.9351674052 -0.0821400525957 31.7469914311 0.0178957745114 83.2055995073
2 7 -3172.94281868 9.29251344442 -0.0160336333617 46.6589889471 0.0179892737756 157.455513158
2 8 -1112.81003238 11.8130281152 -0.0263111224376 42.0472457853 0.0675529296499 149.813554043
2 9 -3884.33622268 15.0245922699 -0.0363316457665 36.7106406561 0.340351846582 150.010886586
2 14 -8037.63427266 1.04002607676 0.185089893331 -3.27036271985 1.62892567842 108.190314875
2 20 -8066.21590871 7.90529888566 -0.00799478529541 7.6664300708 0.734376133805 110.002251782
2 28 -160.038994212 3.34217792662 -0.00280947827498 -0.613464012083 -0.821054570398 244.326228168
2 82 -3891.47110041 6.88022021832 -0.139535154173 25.5538584282 1.55592083662 -46.1474509218
2 83 -2260.61420532 -6.09278748085 -0.180350715549 45.9861124282 0.025585484737 -4.60273802154
3 8 -2172.72358359 12.3160688447 -0.0327571084648 38.2083741072 0.0338556726074 137.151994181
3 9 -3547.3260124 20.811903193 -0.0110230964419 25.0041606729 0.31176664095 141.177699462
3 15 -3176.3134398 4.29323293215 -0.0305942654019 40.4034881796 0.0277256750089 229.868069254
3 16 -3349.15769682 1.74713734157 -0.0287614743517 39.555748971 0.0199463523307 233.042240844
