x y likelihood f g h n t0
0 6 -26095.3085986 9.52199979772 0.0805381416827 -9.99629696605 -0.00360030341949 98.4223577251
0 7 -10779.8603514 8.4448982428 0.0943990515058 7.62808973077 0.00642617586845 180.165990843
0 8 -8250.62467288 19.5258327578 -0.0195323337015 24.3601882972 0.0449456667242 153.881259077
0 9 -4829.0269218 21.9040687855 -0.0550185872192 34.0898249452 0.0346313739969 177.640149692
0 10 -98145.2957139 32.096521169 -0.100512856598 30.0194173609 -0.000741269803469 196.505739279
0 21 -4633.01274165 4.69183931964 -0.0241729490375 9.67518858311 0.0334502710578 197.742042069
0 22 -8244.5308993 -3.31220907798 -0.0176538768171 5.1919971222 0.0232671882734 97.024082034
0 23 -4831.79877491 2.96050860325 -0.0132267714552 3.11833235097 -0.0144099776017 98.8510169959
0 54 -231.754750189 1.0488340646 -0.000236783855438 -0.13079546523 -0.0435497628576 146.746117641
0 72 -2664.70042839 9.15683303307 -0.0272579513455 2.08149996535 -0.0317041869594 80.8770698682
0 74 -7885.44141518 11.556648468 -0.0301591383452 3.20541936406 -0.0206503089044 70.8362040764
0 75 -2229.17516584 13.5164645852 -0.0119665197805 9.17667986001 -0.00936257603566 197.570000672
0 76 -22112.9888829 11.5663715893 -0.0622678026661 11.1627691864 -0.00430156066922 15.4784531415
0 77 -2525.07162294 18.1895658677 -0.0279978515765 1.22883172032 -0.0731860337383 197.741985183
0 82 -181244.999545 -9.99962939893 -0.083687029631 20.1001711555 -0.030575204072 -199.999728606
0 83 -1791.21908828 6.86197299602 -0.0170749629769 28.0445284612 -0.0180520093085 112.017094343
0 94 -42163.7362322 -3.08249693391 0.0874972582552 -3.60131833703 0.00427410494094 19.5290619245
1 8 -4201.3605783 12.053955532 -0.0358688622843 39.3968994804 0.0775197324137 149.182021147
1 9 -3982.33877783 13.839868108 -0.032290220549 38.5123870579 0.124307032505 152.124593541
1 10 -149167.298322 -3.10375408587 -0.054759287983 23.4756758747 0.0967734925904 167.291127948
1 14 -195384.747718 -3.30941030862 -0.0576925211807 14.5637030079 0.0333928930708 197.797120748
1 15 -47117.3186112 21.504222236 -0.0119849425687 3.74801427458 0.0687201427327 197.385449749
1 16 -4306.05180249 5.80154240592 0.124668304345 -0.451320529958 -0.0151792816 2.88725033949
1 21 -29383.2539973 0.548691707333 -0.0593741685791 9.72210519909 0.0242806213408 197.559671138
1 22 -4707.96795562 1.76433094681 -0.0138300323025 5.38626972096 0.0562468996605 81.9183414242
1 23 -24818.6254134 -3.39865967532 -0.0227876641008 4.15516473658 -0.0171918020305 119.458596365
1 28 -896.700454714 1.80566801588 -7.89789952643e-05 -1.21538415673 0.228158751946 -20.1060884849
1 55 -120.222859608 1.4486516431 -0.00184509350443 0.13643346927 -0.024646119734 191.49349981
1 62 -2948.58830302 -8.78149538662 0.00286775737429 13.008744878 -0.0084730427048 13.1532560565
1 82 -164847.540931 4.8097625909 -0.120953554309 14.1419031761 -0.505473654944 158.36007911
1 83 -431519.464017 -9.9996991479 -0.131758309899 33.0097517773 -0.017744311212 -199.999785139
1 94 -127392.116538 -3.10375408587 -0.0347229395036 13.5327806162 -0.00363569981662 146.061798492
1 98 -3122.97739705 17.3687870672 -0.0562421449755 24.4869395538 0.0231551537861 92.8493053507
2 7 -141633.081467 -9.99996832984 0.082734723122 22.5911634521 0.00448658974756 131.017567158
2 8 -1915.3625408 21.4727809202 -0.00928407347876 32.3208001001 0.178915432241 148.554678065
2 9 -199384.884384 16.8279069832 -0.0311462558597 34.9743373677 -0.00435804274565 150.284969309
2 14 -8585.34856365 -3.30262245207 0.177939255044 -4.4158417437 -0.0112338895046 28.0820674342
2 20 -20316.8521296 16.0979623208 -0.0109087929472 9.92615675794 -0.072483305997 197.572302841
2 28 -239.651780907 1.19936027189 0.00136753191705 -0.127778977758 -0.036282690374 195.927229367
2 82 -218819.565257 2.863137678 -0.140259716836 33.0097517773 -0.012418914997 45.9016066469
2 83 -110370.162371 -6.05696323434 -0.0325294709652 99.0418342197 -0.0116650235425 -63.5652063
3 8 -3651.95913538 -9.99978998382 -0.0232752451519 50.0110485509 0.0151366656256 98.3537504814
3 9 -27040.161681 -2.94869979361 0.0365444362272 24.3601882972 0.0840103126988 135.738805925
3 15 -17669.9329462 -3.03080042681 0.207991475758 -8.43922027318 -0.00589268525558 37.1783637098
3 16 -38199.1298669 9.57141669218 0.182533766613 -8.88040878043 -0.205775449803 38.8781881378
3 26 -1763.38123398 1.42264189477 0.00663459553766 -1.9738707073 0.530527056136 179.883831156
3 28 -215.490828113 1.02743724738 0.00291000638677 -0.11032839511 -0.0377084683834 187.860098147
3 63 -231.035199512 3.39943645881 0.00629141322959 -2.12699634809 0.0256115819815 81.1409081375
3 82 -10674.6204187 18.1743257998 -0.0269927735087 33.0097517773 -0.0196305796057 195.999782251
3 91 -3105.72093962 -9.99945022502 0.0932157133232 7.13107356525 -0.0753883045149 83.4633339246
