x y likelihood f g h n t0
0 6 -4718.84640025 16.584804929 0.0748133734834 4.9000905232 250.0 -99.9997997217
0 7 -6017.14463969 17.1087696789 0.123652137399 4.95050163715 250.0 -99.9997317732
0 8 -17652.8310257 24.8677206087 0.123652137399 -4.99923249701 250.0 -99.9996961478
0 9 -17952.5516122 22.8144597013 0.139931725371 4.929859132 250.0 98.9970599394
0 10 -16674.780849 11.2987779838 0.164351107329 4.90000247355 250.0 98.6904834734
0 21 -4684.33556879 10.9077758871 -0.000331782468512 -4.99999613547 250.0 -99.9999968437
0 22 -3720.36030533 7.61979003697 -0.00536011538109 4.899998149 250.0 -2.86719842198
0 23 -1736.99680939 6.3923480297 -0.00623447241079 -3.59997421673 250.0 0.579604377731
0 54 -183.692485349 1.54974718297 -0.000578959677177 -4.99983422862 250.0 0.222092265017
0 72 -904.66419808 12.0120243303 -0.0265666448024 -4.99998393961 250.0 42.8463322575
0 74 -1600.91375326 16.9830672732 -0.0206580235999 4.90000001283 250.0 -7.88258645073
0 75 -1598.92523578 23.2095713254 -0.0363435832888 4.89993266563 250.0 26.7461093893
0 76 -2661.70403745 25.6566910013 -0.0409286002627 4.95023963996 250.0 -64.8930400914
0 77 -2414.4870737 19.2121828605 -0.0284615170336 4.90002434799 250.0 -99.997661988
0 82 -9818.3829013 11.3210430886 0.00238712044379 -4.99998341012 250.0 0.00808621546722
0 83 -3190.08973011 41.5005901654 -0.116654368457 -4.99998110276 250.0 11.5686702961
0 94 -7485.03932957 10.6637650606 0.0817636679951 4.95023449526 250.0 -19.9333084051
1 8 -24009.9230658 36.9573100762 0.148071519357 -3.43779539833 250.0 98.9968366893
1 9 -26838.3003143 33.2634262544 0.148071519357 4.89999860917 250.0 -76.3733166483
1 10 -18878.6062075 24.2561062965 0.139931725371 4.89999973483 250.0 98.9517627308
1 14 -4814.55011898 8.84201480667 0.139931725371 4.95054408024 250.0 98.717017314
1 15 -4147.116914 6.76127828348 0.139931725371 4.95054230562 250.0 91.9704800098
1 16 -4012.02103873 4.94489575351 0.123652137399 4.94879850747 250.0 98.9961761005
1 21 -7261.34061498 11.3331654537 0.00588145714516 4.90002278044 250.0 98.9901372207
1 22 -4844.24739655 8.16990793779 -0.000241581925074 4.90263889758 250.0 59.9238140687
1 23 -2218.36300213 8.05386866257 -0.00691683497859 -4.99999976805 250.0 1.56975572798
1 28 -201.32179458 1.75350371878 -0.000555829256048 4.89992806969 250.0 0.1046932756
1 55 -700.534796777 1.79337991594 -0.0104804421241 0.00190884690601 250.0 -0.174651880392
1 62 -348.953930774 2.73912560402 -0.0106240731842 -4.99832835731 250.0 0.644076433584
1 82 -5406.61041431 46.0794939337 -0.120472317712 -4.99997454743 250.0 -23.3091222898
1 83 -2510.74423221 56.7350096039 -0.135104108126 4.90020274877 250.0 39.9326054643
1 94 -3125.70150133 26.3804816553 0.0217609889892 4.90000674147 250.0 7.73099224082
1 98 -6415.95690894 40.7387220534 0.00290064065845 -4.99999890838 250.0 -56.3138564502
2 7 -12988.8258598 32.4204216174 0.164351107329 -4.99999871166 250.0 -99.9998663457
2 8 -22476.6426359 37.934475205 0.156211313343 -4.99999833896 250.0 -58.4324566254
2 9 -26305.6506352 39.3797911494 0.131791931385 4.89971126737 250.0 -9.08413925242
2 14 -8223.76622328 -2.27929190416 0.164351107329 -4.99999401225 250.0 -99.9994779661
2 20 -7192.19488846 14.0210654052 0.0184990872338 3.85170348437 250.0 98.9970650584
2 28 -281.572554972 1.54285354835 -0.000555829256048 4.89998427158 250.0 -6.40178040145
2 82 -3998.16663577 57.8970936514 -0.143092885996 4.89999445804 250.0 -3.3652819132
2 83 -3439.99523621 68.3343718894 -0.140012625649 -4.99999291683 250.0 -99.9983225625
3 8 -12184.2695044 37.2730377493 0.123652137399 -4.99999524449 250.0 -99.9999185938
3 9 -15191.7575875 39.065592631 0.0992327554414 4.90016267701 250.0 97.9999559798
3 15 -16940.1556601 -6.23937842736 0.188770489287 -4.99998605862 250.0 -48.1139159256
3 16 -10931.2514373 -3.74678269531 0.164351107329 -4.99952761413 250.0 -7.06019517734
3 26 -375.150662389 1.55808166993 0.00270387791932 -4.99970919879 250.0 -12.6093317017
3 28 -213.429763659 0.852121947039 -0.000500341317697 4.90017944834 250.0 56.5168739061
3 63 -243.610019736 1.63532890376 -0.000578959677177 4.69871283225 250.0 7.04591621999
3 82 -4817.36815385 58.8094125691 -0.139195414064 4.90000492189 250.0 -99.9998076101
3 91 -3643.56307927 -0.0628371791994 0.0587355761311 4.89993912874 250.0 -72.9121727173
